序号,豆瓣电影,年份,豆瓣打分,豆瓣信息,IMDb电影,IMDb年份,IMDb打分,IMDb信息,烂番茄电影,烂番茄年份,烂番茄新鲜度
0,[月球旅行记 Le voyage dans la lune](https://movie.douban.com/subject/1304310/),1902.0,9.2,导演: 乔治·梅里爱; 类型: 喜剧; 地区: 法国,[A Trip to the Moon](https://www.imdb.com/title/tt0000417/),1902,8.2,"13 min | Short, Action, Adventure",[A Trip to the Moon](https://www.rottentomatoes.com/m/le_voyage_dans_la_lune),1902,100%
1,[火车大劫案 The Great Train Robbery](https://movie.douban.com/subject/1299875/),1903.0,8.5,导演: 埃德温·鲍特; 类型: 短片; 地区: 美国,[The Great Train Robbery](https://www.imdb.com/title/tt0000439/),1903,7.3,"11 min | Short, Action, Adventure",[The Great Train Robbery](https://www.rottentomatoes.com/m/the-great-train-robbery1903),1903,100%
2,[一个国家的诞生 The Birth of a Nation](https://movie.douban.com/subject/1300306/),1915.0,7.9,导演: 大卫·格里菲斯; 类型: 剧情; 地区: 美国,[The Birth of a Nation](https://www.imdb.com/title/tt0004972/),1915,6.2,"195 min | Drama, History, War",[The Birth of a Nation](https://www.rottentomatoes.com/m/birth_of_a_nation/),1915,93%
3,[吸血鬼 Les Vampires](https://movie.douban.com/subject/1303869/),1915.0,7.9,导演: 路易斯·菲拉德; 类型: 动作; 地区: 法国,[Les vampires](https://www.imdb.com/title/tt0006206/),1915,7.3,"421 min | Action, Adventure, Crime",[Les Vampires](https://www.rottentomatoes.com/m/les_vampires/),1916,96%
4,[党同伐异 Intolerance: Love's Struggle Throughout the Ages](https://movie.douban.com/subject/1295287/),1916.0,8.7,导演: 大卫·格里菲斯; 类型: 剧情; 地区: 美国,[Intolerance: Love's Struggle Throughout the Ages](https://www.imdb.com/title/tt0006864/),1916,7.7,"163 min | Drama, History",[Intolerance](https://www.rottentomatoes.com/m/1010644-intolerance/),1916,97%
5,[残花泪 Broken Blossoms or The Yellow Man and the Girl](https://movie.douban.com/subject/1298420/),1919.0,8.0,导演: 大卫·格里菲斯; 类型: 剧情; 地区: 美国,[Das Cabinet des Dr. Caligari](https://www.imdb.com/title/tt0010323/),1920,8,"76 min | Horror, Mystery, Thriller",[The Cabinet of Dr. Caligari](https://www.rottentomatoes.com/m/1003361-cabinet_of_dr_caligari/),1920,96%
6,[卡里加里博士的小屋 Das Cabinet des Dr. Caligari](https://movie.douban.com/subject/1292547/),1920.0,8.9,导演: 罗伯特·维内; 类型: 犯罪; 地区: 德国,[Broken Blossoms or The Yellow Man and the Girl](https://www.imdb.com/title/tt0009968/),1919,7.2,"90 min | Drama, Romance",[Broken Blossoms](https://www.rottentomatoes.com/m/1003120-broken_blossoms/),1919,95%
7,[藩篱之内 Within Our Gates](https://movie.douban.com/subject/2208951/),1920.0,6.9,导演: 奥斯卡·米绍; 类型: 剧情; 地区: 美国,[Within Our Gates](https://www.imdb.com/title/tt0011870/),1920,6.4,"79 min | Drama, Romance",[Within Our Gates](https://www.rottentomatoes.com/m/within_our_gates/),1920,100%
8,[一路向东 Way Down East](https://movie.douban.com/subject/1292459/),1920.0,7.9,导演: 大卫·格里菲斯; 类型: 剧情; 地区: 美国,[Way Down East](https://www.imdb.com/title/tt0011841/),1920,7.3,"145 min | Drama, Romance",[Way Down East](https://www.rottentomatoes.com/m/way_down_east/),1920,96%
9,[暴风雨中的孤儿 Orphans of the Storm](https://movie.douban.com/subject/1292998/),1921.0,7.8,导演: 大卫·格里菲斯; 类型: 剧情; 地区: 美国,[Orphans of the Storm](https://www.imdb.com/title/tt0012532/),1921,7.3,"150 min | Drama, History, Romance",[Orphans of the Storm](https://www.rottentomatoes.com/m/orphans_of_the_storm/),1921,88%
10,[幽灵马车 Körkarlen](https://movie.douban.com/subject/1465471/),1921.0,8.4,导演: 维克多·斯约斯特洛姆; 类型: 剧情; 地区: 瑞典,[Körkarlen](https://www.imdb.com/title/tt0012364/),1921,8,"107 min | Drama, Fantasy, Horror",[The Phantom Carriage](https://www.rottentomatoes.com/m/phantom_chariot/),1921,100%
11,"[玩家马布斯博士 Dr. Mabuse, der Spieler](https://movie.douban.com/subject/1306016/)",1922.0,8.6,导演: 弗里茨·朗; 类型: 犯罪; 地区: 德国,[La souriante Madame Beudet](https://www.imdb.com/title/tt0013626/),1923,6.6,"38 min | Short, Drama",The Smiling Madame Beudet,1923,
12,[北方的纳努克 Nanook of the North](https://movie.douban.com/subject/1292735/),1922.0,8.5,导演: 罗伯特·弗拉哈迪; 类型: 纪录片; 地区: 法国,"[Dr. Mabuse, der Spieler](https://www.imdb.com/title/tt0013086/)",1922,7.8,"242 min | Crime, Mystery, Thriller","[Dr. Mabuse, the Gambler](https://www.rottentomatoes.com/m/dr_mabuse_the_gambler/)",1922,94%
13,"[诺斯费拉图 Nosferatu, eine Symphonie des Grauens](https://movie.douban.com/subject/1296791/)",1922.0,8.2,导演: F·W·茂瑙; 类型: 奇幻; 地区: 德国,[Nanook of the North](https://www.imdb.com/title/tt0013427/),1922,7.6,78 min | Documentary,[Nanook of the North](https://www.rottentomatoes.com/m/nanook-of-the-north/),1922,100%
14,[女巫 Häxan](https://movie.douban.com/subject/1439560/),1922.0,8.2,导演: 本杰明·克里斯滕森; 类型: 奇幻; 地区: 瑞典/丹麦,[Nosferatu](https://www.imdb.com/title/tt0013442/),1922,7.9,"94 min | Fantasy, Horror",[Nosferatu](https://www.rottentomatoes.com/m/nosferatu/),1922,97%
15,[情场现形记 Foolish Wives](https://movie.douban.com/subject/1299482/),1922.0,7.3,导演: 埃里克·冯·施特罗海姆; 类型: 剧情; 地区: 美国,[Häxan](https://www.imdb.com/title/tt0013257/),1922,7.6,"91 min | Documentary, Fantasy, Horror",[Häxan](https://www.rottentomatoes.com/m/haxan_witchcraft_through_the_ages/),1922,91%
16,[待客之道 Our Hospitality](https://movie.douban.com/subject/1295211/),1923.0,8.6,导演: 约翰·布莱斯通; 类型: 喜剧; 地区: 美国,[Foolish Wives](https://www.imdb.com/title/tt0013140/),1922,7,"117 min | Drama, Thriller",[Foolish Wives](https://www.rottentomatoes.com/m/foolish-wives/),1922,89%
17,[微笑的布迪夫人 La Souriante Madame Beudet](https://movie.douban.com/subject/1451754/),1923.0,7.9,导演: 谢尔曼·杜拉克; 类型: 短片; 地区: 法国,[Our Hospitality](https://www.imdb.com/title/tt0014341/),1923,7.8,"65 min | Comedy, Romance, Thriller",[Our Hospitality](https://www.rottentomatoes.com/m/our_hospitality/),1923,97%
18,[铁路的白蔷薇 La roue](https://movie.douban.com/subject/1307985/),1923.0,8.3,导演: 阿贝尔·冈斯; 类型: 剧情; 地区: 法国,[La roue](https://www.imdb.com/title/tt0014417/),1923,7.5,417 min | Drama,[La Roue](https://www.rottentomatoes.com/m/1197007-la_roue/),1923,80%
19,[月宫宝盒 The Thief of Bagdad](https://movie.douban.com/subject/1300390/),1924.0,7.8,导演: 拉乌尔·沃尔什; 类型: 冒险; 地区: 美国,[Der letzte Mann](https://www.imdb.com/title/tt0015064/),1924,8,77 min | Drama,[The Last Laugh](https://www.rottentomatoes.com/m/last_laugh/),1924,100%
20,[贪婪 Greed](https://movie.douban.com/subject/1301923/),1924.0,8.0,导演: 埃里克·冯·施特罗海姆; 类型: 剧情; 地区: 美国,[Stachka](https://www.imdb.com/title/tt0015361/),1925,7.6,82 min | Drama,[Strike](https://www.rottentomatoes.com/m/strike1924/),1925,100%
21,[福尔摩斯二世 Sherlock Jr.](https://movie.douban.com/subject/1303408/),1924.0,9.5,导演: 巴斯特·基顿; 类型: 喜剧; 地区: 美国,[Sherlock Jr.](https://www.imdb.com/title/tt0015324/),1924,8.2,"45 min | Action, Comedy, Romance","[Sherlock, Jr.](https://www.rottentomatoes.com/m/sherlock-jr/)",1924,93%
22,[最卑贱的人 Der letzte Mann](https://movie.douban.com/subject/1307639/),1924.0,8.7,导演: F·W·茂瑙; 类型: 剧情; 地区: 德国,[The Great White Silence](https://www.imdb.com/title/tt1764657/),1922,8,80 min | Documentary,The Great White Silence,1924,
23,[伟大的白色寂静 The Great White Silence](https://movie.douban.com/subject/6437034/),1924.0,8.9,导演: 赫伯特·庞廷; 类型: 纪录片; 地区: 英国,[Greed](https://www.imdb.com/title/tt0015881/),1924,8,"140 min | Drama, Thriller, Western",[Greed](https://www.rottentomatoes.com/m/1008924-greed/),1924,96%
24,[罢工 Стачка](https://movie.douban.com/subject/1302186/),1925.0,8.2,导演: 谢尔盖·爱森斯坦; 类型: 剧情; 地区: 苏联,[The Thief of Bagdad](https://www.imdb.com/title/tt0015400/),1924,7.7,"155 min | Adventure, Family, Fantasy",[The Thief of Bagdad](https://www.rottentomatoes.com/m/1028714-thief_of_bagdad/),1924,97%
25,[七次机会 Seven Chances](https://movie.douban.com/subject/1300352/),1925.0,8.9,导演: 巴斯特·基顿; 类型: 喜剧; 地区: 美国,[The Eagle](https://www.imdb.com/title/tt0015772/),1925,6.6,"73 min | Action, Adventure, Comedy",The Eagle,1925,
26,[歌剧魅影 The Phantom of the Opera](https://movie.douban.com/subject/1294273/),1925.0,8.2,导演: 爱德华·塞奇威克; 类型: 剧情; 地区: 美国,[The Phantom of the Opera](https://www.imdb.com/title/tt0016220/),1925,7.5,93 min | Horror,[The Phantom of the Opera](https://www.rottentomatoes.com/m/1016240-phantom_of_the_opera/),1925,90%
27,[鹰 The Eagle](https://movie.douban.com/subject/1841858/),1925.0,,导演: 克拉伦斯·布朗; 类型: 喜剧; 地区: 美国,[Bronenosets Potemkin](https://www.imdb.com/title/tt0015648/),1925,7.9,"75 min | Drama, History, Thriller",[Battleship Potemkin](https://www.rottentomatoes.com/m/battleship_potemkin/),1925,100%
28,[战舰波将金号 Броненосец Потёмкин](https://movie.douban.com/subject/1293492/),1925.0,8.7,导演: 谢尔盖·爱森斯坦; 类型: 剧情; 地区: 苏联,[The Gold Rush](https://www.imdb.com/title/tt0015864/),1925,8.1,"95 min | Adventure, Comedy, Drama",[The Gold Rush](https://www.rottentomatoes.com/m/the-gold-rush/),1925,100%
29,[淘金记 The Gold Rush](https://movie.douban.com/subject/1298817/),1925.0,9.2,导演: 查理·卓别林; 类型: 喜剧; 地区: 美国,[The Big Parade](https://www.imdb.com/title/tt0015624/),1925,7.9,"151 min | Drama, Romance, War",[The Big Parade](https://www.rottentomatoes.com/m/big_parade/),1925,100%
30,[战地之花 The Big Parade](https://movie.douban.com/subject/1306036/),1925.0,7.5,导演: 金·维多; 类型: 剧情; 地区: 美国,[Seven Chances](https://www.imdb.com/title/tt0016332/),1925,7.8,"56 min | Comedy, Romance",[Seven Chances](https://www.rottentomatoes.com/m/seven-chances/),1925,94%
31,[将军号 The General](https://movie.douban.com/subject/1292778/),1926.0,9.1,导演: 巴斯特·基顿; 类型: 剧情; 地区: 美国,[Die Abenteuer des Prinzen Achmed](https://www.imdb.com/title/tt0015532/),1926,7.8,"80 min | Animation, Adventure, Family",[The Adventures of Prince Achmed](https://www.rottentomatoes.com/m/1053321-adventures_of_prince_achmed/),1926,100%
32,[阿赫迈德王子历险记 Die Abenteuer des Prinzen Achmed](https://movie.douban.com/subject/1302814/),1926.0,8.6,导演: 洛特·赖尼格; 类型: 动画; 地区: 德国,[Metropolis](https://www.imdb.com/title/tt0017136/),1927,8.3,"153 min | Drama, Sci-Fi",[Metropolis](https://www.rottentomatoes.com/m/1013775-metropolis/),1927,97%
33,[大都会 Metropolis](https://movie.douban.com/subject/1298107/),1927.0,9.1,导演: 弗里茨·朗; 类型: 剧情; 地区: 德国,[Sunrise: A Song of Two Humans](https://www.imdb.com/title/tt0018455/),1927,8.1,"94 min | Drama, Romance",[Sunrise: A Song of Two Humans](https://www.rottentomatoes.com/m/sunrise/),1927,98%
34,[日出 Sunrise: A Song of Two Humans](https://movie.douban.com/subject/1295753/),1927.0,8.8,导演: F·W·茂瑙; 类型: 剧情; 地区: 美国,[The General](https://www.imdb.com/title/tt0017925/),1926,8.1,"78 min | Action, Adventure, Comedy",[The General](https://www.rottentomatoes.com/m/1008166-general/),1926,92%
35,[未知者 The Unknown](https://movie.douban.com/subject/1484012/),1927.0,8.2,导演: 托德·布朗宁; 类型: 剧情; 地区: 美国,[The Unknown](https://www.imdb.com/title/tt0018528/),1927,7.7,"68 min | Drama, Horror, Romance",[The Unknown](https://www.rottentomatoes.com/m/10002869-unknown/),1927,100%
36,[爵士歌手 The Jazz Singer](https://movie.douban.com/subject/1303410/),1927.0,7.5,导演: 艾伦·克罗斯兰; 类型: 剧情; 地区: 美国,[Oktyabr](https://www.imdb.com/title/tt0018217/),1927,7.4,"142 min | Drama, History",[October: Ten Days That Shook the World](https://www.rottentomatoes.com/m/october_1928/),1928,93%
37,[拿破仑 Napoléon](https://movie.douban.com/subject/1401756/),1927.0,8.6,导演: 阿贝尔·冈斯; 类型: 传记; 地区: 法国,[The Jazz Singer](https://www.imdb.com/title/tt0018037/),1927,6.4,"88 min | Drama, Music, Musical",[The Jazz Singer](https://www.rottentomatoes.com/m/1010978-jazz_singer/),1927,78%
38,[小兄弟 The Kid Brother](https://movie.douban.com/subject/1307307/),1927.0,7.8,导演: J·A·豪; 类型: 喜剧; 地区: 美国,[Napoléon vu par Abel Gance](https://www.imdb.com/title/tt0018192/),1927,8.2,"330 min | Biography, Drama, History",[Napoleon](https://www.rottentomatoes.com/m/napoleon_1929/),1927,88%
39,[十月 Октябрь](https://movie.douban.com/subject/1297024/),1928.0,8.0,导演: 格里高利·亚历山德罗夫; 类型: 剧情; 地区: 苏联,[The Kid Brother](https://www.imdb.com/title/tt0018051/),1927,7.6,"82 min | Comedy, Drama, Family",[The Kid Brother](https://www.rottentomatoes.com/m/10003356-kid_brother/),1927,90%
40,[群众 The Crowd](https://movie.douban.com/subject/1293273/),1928.0,8.3,导演: 金·维多; 类型: 剧情; 地区: 美国,[The Crowd](https://www.imdb.com/title/tt0018806/),1928,8.1,"98 min | Drama, Romance",[The Crowd](https://www.rottentomatoes.com/m/crowd/),1928,96%
41,[纽约船坞 The Docks of New York](https://movie.douban.com/subject/1855285/),1928.0,7.7,导演: 约瑟夫·冯·斯登堡; 类型: 剧情; 地区: 美国,[The Docks of New York](https://www.imdb.com/title/tt0018839/),1928,7.5,"76 min | Crime, Drama, Film-Noir",[The Docks of New York](https://www.rottentomatoes.com/m/docks_of_new_york/),1928,100%
42,[圣女贞德蒙难记 La Passion de Jeanne d'Arc](https://movie.douban.com/subject/1293783/),1928.0,8.7,导演: 卡尔·西奥多·德莱叶; 类型: 传记; 地区: 法国,[La passion de Jeanne d'Arc](https://www.imdb.com/title/tt0019254/),1928,8.1,"110 min | Biography, Drama, History",[The Passion of Joan of Arc](https://www.rottentomatoes.com/m/passion_of_joan_of_arc/),1928,98%
43,"[船长二世 Steamboat Bill, Jr.](https://movie.douban.com/subject/1292963/)",1928.0,8.6,导演: 查尔斯·赖斯纳; 类型: 剧情; 地区: 美国,[Un chien andalou](https://www.imdb.com/title/tt0020530/),1929,7.6,"16 min | Short, Fantasy, Horror",[Un Chien Andalou](https://www.rottentomatoes.com/m/un_chien_andalou),1929,100%
44,[亚洲风暴 Потомок Чингиз-хана](https://movie.douban.com/subject/1294357/),1928.0,8.1,导演: 弗谢沃罗德·普多夫金; 类型: 剧情; 地区: 苏联,"[Steamboat Bill, Jr.](https://www.imdb.com/title/tt0019421/)",1928,7.8,"70 min | Action, Comedy, Drama","[Steamboat Bill, Jr.](https://www.rottentomatoes.com/m/steamboat_bill_jr/)",1928,100%
45,[一条安达鲁狗 Un chien andalou](https://movie.douban.com/subject/1298962/),1929.0,8.2,导演: 路易斯·布努埃尔; 类型: 短片; 地区: 法国,[Potomok Chingis-Khana](https://www.imdb.com/title/tt0019286/),1928,7,"127 min | Drama, War",[Storm Over Asia](https://www.rottentomatoes.com/m/storm_over_asia),1928,75%
46,[讹诈 Blackmail](https://movie.douban.com/subject/1296210/),1929.0,7.5,导演: 阿尔弗雷德·希区柯克; 类型: 犯罪; 地区: 英国,[Prapanch Pash](https://www.imdb.com/title/tt0020286/),1929,6.5,"74 min | Adventure, Drama, Romance",[Throw of the Dice](https://www.rottentomatoes.com/m/throw_of_the_dice/),1930,100%
47,[持摄影机的人 Человек с Киноаппаратом](https://movie.douban.com/subject/1293199/),1929.0,9.1,导演: 吉加·维尔托夫; 类型: 纪录片; 地区: 苏联,[Chelovek s kino-apparatom](https://www.imdb.com/title/tt0019760/),1929,8.3,"68 min | Documentary, Music",[Man With a Movie Camera](https://www.rottentomatoes.com/m/man_with_a_movie_camera/),1929,98%
48,[潘多拉的魔盒 Die Büchse der Pandora](https://movie.douban.com/subject/1401368/),1929.0,8.2,导演: G·W·帕布斯特; 类型: 犯罪; 地区: 德国,[Die Büchse der Pandora](https://www.imdb.com/title/tt0018737/),1929,7.8,"109 min | Crime, Drama, Romance",[Pandora's Box](https://www.rottentomatoes.com/m/pandoras_box/),1929,93%
49,[赌局 A Throw Of Dice](https://movie.douban.com/subject/2328164/),1929.0,,导演: Franz Osten; 类型: 冒险; 地区: 英国/印度/德国,[Blackmail](https://www.imdb.com/title/tt0019702/),1929,6.9,"85 min | Crime, Drama, Thriller",[Blackmail](https://www.rottentomatoes.com/m/1002540-blackmail/),1929,87%
50,[蓝天使 Der blaue Engel](https://movie.douban.com/subject/1295427/),1930.0,7.7,导演: 约瑟夫·冯·斯登堡; 类型: 剧情; 地区: 德国,[Little Caesar](https://www.imdb.com/title/tt0021079/),1931,7.2,"79 min | Action, Crime, Drama",[Little Caesar](https://www.rottentomatoes.com/m/little_caesar/),1931,92%
51,[黄金时代 L'âge d'or](https://movie.douban.com/subject/1293667/),1930.0,7.6,导演: 路易斯·布努埃尔; 类型: 喜剧; 地区: 法国,[Der blaue Engel](https://www.imdb.com/title/tt0020697/),1930,7.7,"104 min | Drama, Music",[The Blue Angel](https://www.rottentomatoes.com/m/1002681-blue_angel/),1930,96%
52,[大地 Земля](https://movie.douban.com/subject/1474748/),1930.0,7.9,导演: 亚历山大·杜辅仁科; 类型: 剧情; 地区: 苏联,[All Quiet on the Western Front](https://www.imdb.com/title/tt0020629/),1930,8.1,"152 min | Drama, War",[All Quiet on the Western Front](https://www.rottentomatoes.com/m/1000642-all_quiet_on_the_western_front/),1930,98%
53,[西线无战事 All Quiet on the Western Front](https://movie.douban.com/subject/1295116/),1930.0,8.9,导演: 刘易斯·迈尔斯通; 类型: 剧情; 地区: 美国,[L'âge d'or](https://www.imdb.com/title/tt0021577/),1930,7.2,"60 min | Comedy, Drama",[L'âge D'Or](https://www.rottentomatoes.com/m/lage_dor/),1930,90%
54,[小凯撒 Little Caesar](https://movie.douban.com/subject/1302056/),1931.0,6.8,导演: 茂文·勒鲁瓦; 类型: 剧情; 地区: 美国,[Zemlya](https://www.imdb.com/title/tt0021571/),1930,7.2,75 min | Drama,[Earth](https://www.rottentomatoes.com/m/zemlya-earth-soil1930/),1930,75%
55,[我们等待自由 À nous la liberté](https://movie.douban.com/subject/1408311/),1931.0,7.9,导演: 雷内·克莱尔; 类型: 喜剧; 地区: 法国,[À nous la liberté](https://www.imdb.com/title/tt0022599/),1931,7.4,"104 min | Comedy, Musical",[À Nous La Liberté](https://www.rottentomatoes.com/m/a_nous_la_liberte/),1931,100%
56,[百万法郎 Le million](https://movie.douban.com/subject/1296419/),1931.0,7.4,导演: 雷内·克莱尔; 类型: 歌舞; 地区: 法国,[Limite](https://www.imdb.com/title/tt0022080/),1931,7.1,"114 min | Drama, Romance",Limite,1931,
57,[禁忌 Tabu: A Story of the South Seas](https://movie.douban.com/subject/1296577/),1931.0,7.9,导演: F·W·茂瑙; 类型: 剧情; 地区: 美国,[Tabu: A Story of the South Seas](https://www.imdb.com/title/tt0022458/),1931,7.4,"86 min | Adventure, Drama, Romance",[Tabu](https://www.rottentomatoes.com/m/tabu/),1931,93%
58,[德古拉 Dracula](https://movie.douban.com/subject/1296182/),1931.0,7.2,导演: 托德·布朗宁; 类型: 奇幻; 地区: 美国,[City Lights](https://www.imdb.com/title/tt0021749/),1931,8.5,"G | 87 min | Comedy, Drama, Romance",[City Lights](https://www.rottentomatoes.com/m/city_lights/),1931,96%
59,[科学怪人 Frankenstein](https://movie.douban.com/subject/1296929/),1931.0,7.5,导演: 詹姆斯·惠尔; 类型: 科幻; 地区: 美国,[Dracula](https://www.imdb.com/title/tt0021814/),1931,7.4,"75 min | Drama, Fantasy, Horror",[Dracula](https://www.rottentomatoes.com/m/1006234-dracula/),1931,94%
60,[城市之光 City Lights](https://movie.douban.com/subject/1293908/),1931.0,9.3,导演: 查理·卓别林; 类型: 喜剧; 地区: 美国,[Frankenstein](https://www.imdb.com/title/tt0021884/),1931,7.8,"(Banned) | 70 min | Drama, Horror, Sci-Fi",[Frankenstein](https://www.rottentomatoes.com/m/1007818-frankenstein/),1931,100%
61,[国民公敌 The Public Enemy](https://movie.douban.com/subject/1296946/),1931.0,7.2,导演: 威廉·A·韦尔曼; 类型: 动作; 地区: 美国,[The Public Enemy](https://www.imdb.com/title/tt0022286/),1931,7.6,"83 min | Crime, Drama",[The Public Enemy](https://www.rottentomatoes.com/m/1016885-public_enemy/),1931,100%
62,[M就是凶手 M - Eine Stadt sucht einen Mörder](https://movie.douban.com/subject/1293381/),1931.0,8.3,导演: 弗里茨·朗; 类型: 剧情; 地区: 德国,[M - Eine Stadt sucht einen Mörder](https://www.imdb.com/title/tt0022100/),1931,8.3,"117 min | Crime, Mystery, Thriller",[M](https://www.rottentomatoes.com/m/1012928-m/),1931,100%
63,[母狗 La Chienne](https://movie.douban.com/subject/1306486/),1931.0,7.7,导演: 让·雷诺阿; 类型: 剧情; 地区: 法国,[Le million](https://www.imdb.com/title/tt0022150/),1931,7.4,"91 min | Comedy, Musical",[Le Million](https://www.rottentomatoes.com/m/le_million/),1931,100%
64,[界限 Limite](https://movie.douban.com/subject/1925767/),1931.0,7.6,导演: 马里奥·皮索托; 类型: 剧情; 地区: 巴西,[La chienne](https://www.imdb.com/title/tt0021739/),1931,7.5,"91 min | Crime, Drama",[La Chienne](https://www.rottentomatoes.com/m/chienne/),1931,100%
65,[吸血鬼 Vampyr](https://movie.douban.com/subject/1300749/),1932.0,7.8,导演: 卡尔·西奥多·德莱叶; 类型: 奇幻; 地区: 德国/法国,[Vampyr](https://www.imdb.com/title/tt0023649/),1932,7.4,"75 min | Fantasy, Horror",[Vampyr](https://www.rottentomatoes.com/m/vampyr_der_traum_des_allan_grey/),1932,98%
66,[公主艳史 Love Me Tonight](https://movie.douban.com/subject/1297367/),1932.0,7.3,导演: 鲁本·马莫利安; 类型: 歌舞; 地区: 美国,[I Am a Fugitive from a Chain Gang](https://www.imdb.com/title/tt0023042/),1932,8.2,"92 min | Crime, Drama, Film-Noir",[I Am a Fugitive From a Chain Gang](https://www.rottentomatoes.com/m/i_am_a_fugitive_from_a_chain_gang/),1932,96%
67,[布杜落水遇救记 Boudu sauvé des eaux](https://movie.douban.com/subject/1302490/),1932.0,7.6,导演: 让·雷诺阿; 类型: 喜剧; 地区: 法国,[Boudu sauvé des eaux](https://www.imdb.com/title/tt0022718/),1932,7.2,85 min | Comedy,[Boudu Saved From Drowning](https://www.rottentomatoes.com/m/boudu_saved_from_drowning/),1932,100%
68,[亡命者 I Am a Fugitive from a Chain Gang](https://movie.douban.com/subject/1292471/),1932.0,8.3,导演: 茂文·勒鲁瓦; 类型: 剧情; 地区: 美国,[Love Me Tonight](https://www.imdb.com/title/tt0023158/),1932,7.5,"104 min | Comedy, Musical, Romance",[Love Me Tonight](https://www.rottentomatoes.com/m/love_me_tonight/),1932,100%
69,[天堂里的烦恼 Trouble in Paradise](https://movie.douban.com/subject/1294746/),1932.0,8.2,导演: 恩斯特·刘别谦; 类型: 喜剧; 地区: 美国,[Shanghai Express](https://www.imdb.com/title/tt0023458/),1932,7.3,"82 min | Adventure, Drama, Film-Noir",[Shanghai Express](https://www.rottentomatoes.com/m/1043598-shanghai_express/),1932,94%
70,[疤面人 Scarface](https://movie.douban.com/subject/1299608/),1932.0,8.2,导演: 霍华德·霍克斯; 类型: 剧情; 地区: 美国,[Trouble in Paradise](https://www.imdb.com/title/tt0023622/),1932,7.9,"83 min | Comedy, Crime, Romance",[Trouble in Paradise](https://www.rottentomatoes.com/m/1118325-trouble_in_paradise/),1932,89%
71,[上海快车 Shanghai Express](https://movie.douban.com/subject/1293996/),1932.0,7.0,导演: 约瑟夫·冯·斯登堡; 类型: 冒险; 地区: 美国,[Scarface](https://www.imdb.com/title/tt0023427/),1932,7.7,"93 min | Action, Crime, Drama",[Scarface](https://www.rottentomatoes.com/m/1018323-scarface/),1932,98%
72,[畸形人 Freaks](https://movie.douban.com/subject/1295942/),1932.0,7.9,导演: 托德·布朗宁; 类型: 剧情; 地区: 美国,[Freaks](https://www.imdb.com/title/tt0022913/),1932,7.8,"64 min | Drama, Horror",[Freaks](https://www.rottentomatoes.com/m/freaks/),1932,95%
73,[神探柔情 Me and My Gal](https://movie.douban.com/subject/2980753/),1932.0,,导演: 拉乌尔·沃尔什; 类型: 剧情; 地区: 美国,[Me and My Gal](https://www.imdb.com/title/tt0023202/),1932,6.6,"79 min | Comedy, Drama, Romance",Me and My Gal,1932,
74,[操行零分 Zéro de conduite: Jeunes diables au collège](https://movie.douban.com/subject/1294518/),1933.0,8.1,导演: 让·维果; 类型: 喜剧; 地区: 法国,[42nd Street](https://www.imdb.com/title/tt0024034/),1933,7.3,"89 min | Comedy, Drama, Musical",[42nd Street](https://www.rottentomatoes.com/m/42nd_street/),1933,96%
75,[第四十二街 42nd Street](https://movie.douban.com/subject/1292559/),1933.0,7.4,导演: 劳埃德·培根; 类型: 歌舞; 地区: 美国,[Footlight Parade](https://www.imdb.com/title/tt0024028/),1933,7.5,"104 min | Comedy, Musical, Romance",[Footlight Parade](https://www.rottentomatoes.com/m/footlight_parade/),1933,100%
76,[华清春暖 Footlight Parade](https://movie.douban.com/subject/1304527/),1933.0,7.7,导演: 劳埃德·培根; 类型: 喜剧; 地区: 美国,[The Bitter Tea of General Yen](https://www.imdb.com/title/tt0023814/),1932,6.9,"88 min | Drama, Romance, War",[The Bitter Tea of General Yen](https://www.rottentomatoes.com/m/the_bitter_tea_of_general_yen/),1933,100%
77,[1933年淘金女郎 Gold Diggers of 1933](https://movie.douban.com/subject/1295497/),1933.0,7.6,导演: 茂文·勒鲁瓦; 类型: 歌舞; 地区: 美国,[She Done Him Wrong](https://www.imdb.com/title/tt0024548/),1933,6.3,"66 min | Comedy, Drama, History",[She Done Him Wrong](https://www.rottentomatoes.com/m/she_done_him_wrong/),1933,90%
78,[侬本多情 She Done Him Wrong](https://movie.douban.com/subject/1292818/),1933.0,6.5,导演: 洛威·舍曼; 类型: 喜剧; 地区: 美国,[Duck Soup](https://www.imdb.com/title/tt0023969/),1933,7.8,"69 min | Comedy, Musical",[Duck Soup](https://www.rottentomatoes.com/m/duck_soup/),1933,91%
79,[鸭羹 Duck Soup](https://movie.douban.com/subject/1298113/),1933.0,7.2,导演: 莱奥·麦卡雷; 类型: 喜剧; 地区: 美国,[Zéro de conduite: Jeunes diables au collège](https://www.imdb.com/title/tt0024803/),1933,7.2,"44 min | Short, Drama",[Zero for Conduct](https://www.rottentomatoes.com/m/zero-de-conduite-1932),1933,93%
80,[瑞典女王 Queen Christina](https://movie.douban.com/subject/1305615/),1933.0,8.2,导演: 鲁本·马莫利安; 类型: 传记; 地区: 美国,[Gold Diggers of 1933](https://www.imdb.com/title/tt0024069/),1933,7.7,"97 min | Comedy, Drama, Musical",[Gold Diggers of 1933](https://www.rottentomatoes.com/m/gold_diggers_of_1933/),1933,100%
