Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
"Time to Live and the Time to Die, The",🎉320,🎉326,Hou Hsiao-hsien,[童年往事](https://movie.douban.com/subject/1300572/),🌟8.9,侯孝贤 / 游安顺 / 田丰 / 梅芳 / 剧情 / 传记 / 家庭 / 中国台湾 / 1985,1985,Taiwan,Drama,[A Time to Live and a Time to Die](https://www.imdb.com/title/tt0090185/),🌟7.6
Werckmeister Harmonies,🎉321,🎉374,Béla Tarr,[鲸鱼马戏团 Werckmeister harmóniák](https://movie.douban.com/subject/1416898/),🌟8.8,贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基 / 拉尔斯·鲁道夫 / 彼得·菲茨 / 汉娜·许古拉 / 剧情 / 悬疑 / 匈牙利/意大利/德国/法国 / 2000,2000,Hungary-Germany-France-Switzerland-Italy,Drama,[Werckmeister Harmonies](https://www.imdb.com/title/tt0249241/),🌟8
"Canterbury Tale, A",🎉322,🎉346,Michael & Emeric Pressburger Powell,[夜夜春宵 A Canterbury Tale](https://movie.douban.com/subject/1295943/),🌟7.3,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 / 埃里克·波特曼 / 希拉·西姆 / 丹尼斯·普莱斯 / 喜剧 / 剧情 / 悬疑 / 战争 / 英国 / 1944,1944,UK,Drama,[A Canterbury Tale](https://www.imdb.com/title/tt0036695/),🌟7.4
"Belle et la bête, La",🎉323,🎉268,Jean Cocteau,[美女与野兽 La belle et la bête](https://movie.douban.com/subject/1295913/),🌟7.8,让·科克托 / 雷内·克莱芒 / 让·马莱 / 朱赛特·黛 / 米拉·帕雷利 / 剧情 / 奇幻 / 爱情 / 法国 / 1946,1946,France,Fantasy,[Beauty and the Beast](https://www.imdb.com/title/tt0038348/),🌟7.9
Underground,🎉324,🎉297,Emir Kusturica,[地下 Подземље](https://movie.douban.com/subject/1292206/),🌟9.2,埃米尔·库斯图里卡 / 米基·马诺伊洛维奇 / 拉扎尔·里斯托夫斯基 / 米里亚娜·约科维奇 / 剧情 / 战争 / 南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国 / 1995,1995,Yugoslavia-France-Germany-Bulgaria-Czech Republic-Hungary,War-Drama-Comedy,[Underground](https://www.imdb.com/title/tt0114787/),🌟8.1
Broken Blossoms,🎉325,🎉278,D.W. Griffith,[残花泪 Broken Blossoms or The Yellow Man and the Girl](https://movie.douban.com/subject/1298420/),🌟8.0,大卫·格里菲斯 / 丽莲·吉许 / 剧情 / 爱情 / 美国 / 1919,1919,USA,Romance-Drama,[Broken Blossoms](https://www.imdb.com/title/tt0009968/),🌟7.2
Husbands,🎉326,🎉298,John Cassavetes,[夫君 Husbands](https://movie.douban.com/subject/1303095/),🌟7.8,约翰·卡萨维蒂 / 本·戈扎那 / 彼得·法尔克 / 约翰·卡萨维蒂 / 剧情 / 美国 / 1970,1970,USA,Drama,[Husbands](https://www.imdb.com/title/tt0065867/),🌟7.1
"Kid, The",🎉327,🎉312,Charles Chaplin,[寻子遇仙记 The Kid](https://movie.douban.com/subject/1293270/),🌟9.2,查理·卓别林 / 查理·卓别林 / 卡尔米勒 / 艾德娜·珀薇安丝 / 剧情 / 喜剧 / 家庭 / 美国 / 1921,1921,USA,Drama-Comedy-Family,[The Kid](https://www.imdb.com/title/tt0012349/),🌟8.2
"Empire Strikes Back, The",🎉328,🎉284,Irvin Kershner,[星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back](https://movie.douban.com/subject/1296528/),🌟8.4,厄文·克什纳 / 马克·哈米尔 / 哈里森·福特 / 凯丽·费雪 / 动作 / 冒险 / 科幻 / 美国 / 1980,1980,USA,Science Fiction-Fantasy-Adventure,[Star Wars: Episode V - The Empire Strikes Back](https://www.imdb.com/title/tt0080684/),🌟8.7
Pyaasa,🎉329,🎉479,Guru Dutt,[诗人悲歌 Pyaasa](https://movie.douban.com/subject/1861216/),🌟7.8,古鲁·杜特 / Waheeda Rehman / 剧情 / 歌舞 / 爱情 / 印度 / 1957,1957,India,Drama-Musical-Romance,[Thirst](https://www.imdb.com/title/tt0050870/),🌟8.3
"Philadelphia Story, The",🎉330,🎉316,George Cukor,[费城故事 The Philadelphia Story](https://movie.douban.com/subject/1292840/),🌟7.4,乔治·库克 / 加里·格兰特 / 凯瑟琳·赫本 / 詹姆斯·斯图尔特 / 喜剧 / 爱情 / 美国 / 1940,1940,USA,Romance-Comedy,[The Philadelphia Story](https://www.imdb.com/title/tt0032904/),🌟7.9
City of God,🎉331,🎉279,Fernando & Kátia Lund Meirelles,[上帝之城 Cidade de Deus](https://movie.douban.com/subject/1292208/),🌟9.0,费尔南多·梅里尔斯 / 卡迪亚·兰德 / 亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 / 犯罪 / 剧情 / 巴西/法国 / 2002,2002,Brazil-Germany-France,Drama-Crime-Action,[City of God](https://www.imdb.com/title/tt0317248/),🌟8.6
"Young Girls of Rochefort, The",🎉332,🎉373,Jacques Demy,[柳媚花娇 Les Demoiselles de Rochefort](https://movie.douban.com/subject/1301648/),🌟8.0,雅克·德米 / 凯瑟琳·德纳芙 / 乔治·查金思 / 弗朗索瓦·朵列 / 剧情 / 喜剧 / 歌舞 / 法国 / 1967,1967,France,Musical-Dance-Comedy,[The Young Girls of Rochefort](https://www.imdb.com/title/tt0062873/),🌟7.7
In the Realm of the Senses,🎉333,🎉337,Nagisa Oshima,[](),🌟,,1976,Japan-France,Drama-Adult-Romance,[In the Realm of the Senses](https://www.imdb.com/title/tt0074102/),🌟6.6
"Puppetmaster, The",🎉334,🎉322,Hou Hsiao-hsien,[戏梦人生 戲夢人生](https://movie.douban.com/subject/1302941/),🌟8.4,侯孝贤 / 蔡振南 / 洪流 / 黄倩茹 / 传记 / 剧情 / 战争 / 中国台湾 / 1993,1993,Taiwan,Drama-Biography,[The Puppetmaster](https://www.imdb.com/title/tt0107157/),🌟7.1
"Wages of Fear, The",🎉335,🎉288,Henri-Georges Clouzot,[恐惧的代价 Le Salaire de la peur](https://movie.douban.com/subject/1299932/),🌟8.6,亨利-乔治·克鲁佐 / 伊夫·蒙当 / 夏尔·瓦内尔 / 彼得·范·埃克 / 剧情 / 惊悚 / 冒险 / 法国/意大利 / 1953,1953,France-Italy,Thriller-Adventure-Action,[The Wages of Fear](https://www.imdb.com/title/tt0046268/),🌟8.2
"Tree of Wooden Clogs, The",🎉336,🎉454,Ermanno Olmi,[木屐树 L'albero degli zoccoli](https://movie.douban.com/subject/1306266/),🌟8.8,埃曼诺·奥尔米 / 路易吉·奥尔纳吉 / 马西莫·弗拉图斯 / 弗朗克丝卡·维拉 / 剧情 / 历史 / 意大利 / 1978,1978,Italy,Drama,[The Tree of Wooden Clogs](https://www.imdb.com/title/tt0077138/),🌟7.8
Cabaret,🎉337,🎉344,Bob Fosse,[歌厅 Cabaret](https://movie.douban.com/subject/1296282/),🌟8.8,鲍勃·福斯 / 丽莎·明奈利 / 麦克尔·约克 / 赫尔穆特·格里姆 / 剧情 / 爱情 / 歌舞 / 美国 / 1972,1972,USA,Musical-Drama-Dance,[Cabaret](https://www.imdb.com/title/tt0068327/),🌟7.8
Bonnie and Clyde,🎉338,🎉242,Arthur Penn,[雌雄大盗 Bonnie and Clyde](https://movie.douban.com/subject/1294584/),🌟8.2,阿瑟·佩恩 / 沃伦·比蒂 / 费·唐纳薇 / 迈克尔·波拉德 / 动作 / 传记 / 犯罪 / 美国 / 1967,1967,USA,Drama-Crime-Biography,[Bonnie and Clyde](https://www.imdb.com/title/tt0061418/),🌟7.7
El,🎉339,🎉421,Luis Buñuel,[他 El](https://movie.douban.com/subject/1401598/),🌟7.5,路易斯·布努埃尔 / 阿图罗·德·科尔多瓦 / 德利娅·加尔塞斯 / 奥萝拉·瓦尔克 / 剧情 / 爱情 / 墨西哥 / 1953,1953,Mexico,Drama,[El](https://www.imdb.com/title/tt0045361/),🌟7.9
All That Jazz,🎉340,🎉484,Bob Fosse,[爵士春秋 All That Jazz](https://movie.douban.com/subject/1299330/),🌟8.5,鲍勃·福斯 / 罗伊·谢德 / 杰西卡·兰格 / 利兰·帕尔默 / 剧情 / 喜剧 / 音乐 / 歌舞 / 美国 / 1979,1979,USA,Musical-Fantasy-Drama,[All That Jazz](https://www.imdb.com/title/tt0078754/),🌟7.8
Tie Xi Qu: West of the Tracks,🎉341,🎉339,Wang Bing,[铁西区第一部分：工厂](https://movie.douban.com/subject/1309215/),🌟8.6,王兵 / 纪录片 / 中国大陆 / 2003,2003,China,Documentary,[Tie Xi Qu: West of the Tracks](https://www.imdb.com/title/tt0389448/),🌟8.2
Muriel,🎉342,🎉396,Alain Resnais,[莫里埃尔 Muriel ou Le temps d'un retour](https://movie.douban.com/subject/1293844/),🌟7.7,阿伦·雷乃 / 德菲因·塞里格 / 让-皮埃尔·凯里安 / 妮特·克莱因 / 剧情 / 法国/意大利 / 1963,1963,France-Italy,Drama,[Muriel](https://www.imdb.com/title/tt0057336/),🌟7
"Cloud-Capped Star, The",🎉343,🎉478,Ritwik Ghatak,[云遮星 মেঘে ঢাকা তারা](https://movie.douban.com/subject/1460605/),🌟7.7,李维克·伽塔克 / Supriya Choudhury / 阿尼尔·查特吉 / 贾内什·慕克吉 / 剧情 / 印度 / 1960,1960,India,Drama-Musical,[The Cloud-Capped Star](https://www.imdb.com/title/tt0054073/),🌟7.9
"Touch of Zen, A",🎉344,🎉350,King Hu,[侠女 俠女](https://movie.douban.com/subject/1306490/),🌟8.6,胡金铨 / 徐枫 / 石隽 / 白鹰 / 剧情 / 动作 / 武侠 / 古装 / 中国台湾/中国香港 / 1970,1971,Taiwan,Adventure-Action-Drama,[A Touch of Zen](https://www.imdb.com/title/tt0064451/),🌟7.5
Weekend,🎉345,🎉331,Jean-Luc Godard,[周末 Week End](https://movie.douban.com/subject/1296338/),🌟8.0,让-吕克·戈达尔 / 米蕾叶·达尔克 / 让·雅南 / 琼-皮尔里·卡尔弗恩 / 喜剧 / 剧情 / 法国/意大利 / 1967,1967,France-Italy,Drama,[Weekend](https://www.imdb.com/title/tt0062480/),🌟6.9
Kiss Me Deadly,🎉346,🎉332,Robert Aldrich,[死吻 Kiss Me Deadly](https://movie.douban.com/subject/1303569/),🌟7.0,罗伯特·奥尔德里奇 / 拉尔夫·米克 / 阿尔伯特·德科 / 保罗·斯图尔特 / 犯罪 / 剧情 / 黑色电影 / 惊悚 / 美国 / 1955,1955,USA,Crime-Thriller-Drama,[Kiss Me Deadly](https://www.imdb.com/title/tt0048261/),🌟7.5
West Side Story,🎉347,🎉318,Robert & Jerome Robbins Wise,[西区故事 West Side Story](https://movie.douban.com/subject/1295225/),🌟7.5,杰罗姆·罗宾斯 / 罗伯特·怀斯 / 娜塔莉·伍德 / 理查德·贝梅尔 / 拉斯·坦布林 / 犯罪 / 剧情 / 歌舞 / 爱情 / 美国 / 1961,1961,USA,Musical-Dance-Drama,[West Side Story](https://www.imdb.com/title/tt0055614/),🌟7.6
Out 1,🎉348,🎉496,Jacques Rivette,"[出局：禁止接触 Out 1, noli me tangere](https://movie.douban.com/subject/1477852/)",🌟8.3,雅克·里维特 / 苏珊·席夫曼 / 让-皮埃尔·利奥德 / 迈克尔·朗斯代尔 / 朱丽叶·贝尔托 / 喜剧 / 剧情 / 惊悚 / 法国 / 1971,1971,France,Drama-Mystery,[Out 1](https://www.imdb.com/title/tt0246135/),🌟7.5
"Quince Tree Sun, The",🎉349,🎉330,Victor Erice,[榅桲树阳光 El sol del membrillo](https://movie.douban.com/subject/1401529/),🌟8.6,维克多·艾里斯 / Antonio López García / Marina Moreno / Enrique Gran / 纪录片 / 传记 / 剧情 / 西班牙 / 1992,1992,Spain,Documentary-Biography,[Dream of Light](https://www.imdb.com/title/tt0105438/),🌟7.7
Midnight Cowboy,🎉350,🎉353,John Schlesinger,[午夜牛郎 Midnight Cowboy](https://movie.douban.com/subject/1297628/),🌟8.3,约翰·施莱辛格 / 强·沃特 / 达斯汀·霍夫曼 / 西尔维娅·迈尔斯 / 剧情 / 美国 / 1969,1969,USA,Drama,[Midnight Cowboy](https://www.imdb.com/title/tt0064665/),🌟7.8
"Last Picture Show, The",🎉351,🎉315,Peter Bogdanovich,[最后一场电影 The Last Picture Show](https://movie.douban.com/subject/1298026/),🌟8.0,彼得·博格丹诺维奇 / 蒂姆斯·伯特姆斯 / 杰夫·布里吉斯 / 斯碧尔·谢波德 / 剧情 / 美国 / 1971,1971,USA,Drama,[The Last Picture Show](https://www.imdb.com/title/tt0067328/),🌟8
Some Came Running,🎉352,🎉431,Vincente Minnelli,[魂断情天 Some Came Running](https://movie.douban.com/subject/1292750/),🌟7.4,文森特·明奈利 / 雪莉·麦克雷恩 / 弗兰克·辛纳特拉 / 迪恩·马丁 / 剧情 / 爱情 / 美国 / 1958,1958,USA,Drama,[Some Came Running](https://www.imdb.com/title/tt0052218/),🌟7.3
Dog Day Afternoon,🎉353,🎉276,Sidney Lumet,[热天午后 Dog Day Afternoon](https://movie.douban.com/subject/1293374/),🌟8.7,西德尼·吕美特 / 阿尔·帕西诺 / 约翰·凯泽尔 / 查尔斯·德恩 / 剧情 / 喜剧 / 犯罪 / 美国 / 1975,1975,USA,Drama-Crime,[Dog Day Afternoon](https://www.imdb.com/title/tt0072890/),🌟8
Written on the Wind,🎉354,🎉384,Douglas Sirk,[苦雨恋春风 Written on the Wind](https://movie.douban.com/subject/1303302/),🌟7.3,道格拉斯·塞克 / 罗克·赫德森 / 劳伦·白考尔 / 罗伯特·斯塔克 / 剧情 / 爱情 / 美国 / 1956,1956,USA,Drama,[Written on the Wind](https://www.imdb.com/title/tt0049966/),🌟7.4
Marnie,🎉355,🎉379,Alfred Hitchcock,[艳贼 Marnie](https://movie.douban.com/subject/1298442/),🌟7.3,阿尔弗雷德·希区柯克 / 蒂比·海德莉 / 马丁·加贝尔 / 肖恩·康纳利 / 剧情 / 爱情 / 悬疑 / 美国 / 1964,1964,USA,Crime-Drama-Mystery,[Marnie](https://www.imdb.com/title/tt0058329/),🌟7.1
Yojimbo,🎉356,🎉425,Akira Kurosawa,[用心棒](https://movie.douban.com/subject/1292515/),🌟9.0,黑泽明 / 三船敏郎 / 仲代达矢 / 司叶子 / 剧情 / 动作 / 惊悚 / 日本 / 1961,1961,Japan,Drama-Action,[Yojimbo](https://www.imdb.com/title/tt0055630/),🌟8.2
"Double Life of Véronique, The",🎉357,🎉395,Krzysztof Kieslowski,[两生花 La Double vie de Véronique](https://movie.douban.com/subject/1291877/),🌟8.4,克日什托夫·基耶斯洛夫斯基 / 伊莲娜·雅各布 / 哈丽娜·格雷格拉谢夫斯卡 / 卡里娜·谢鲁斯克 / 剧情 / 爱情 / 奇幻 / 法国/波兰/挪威 / 1991,1991,France,Fantasy-Drama-Romance,[The Double Life of Véronique](https://www.imdb.com/title/tt0101765/),🌟7.7
Amadeus,🎉358,🎉335,Milos Forman,[莫扎特传 Amadeus](https://movie.douban.com/subject/1293399/),🌟8.7,米洛斯·福尔曼 / F·默里·亚伯拉罕 / 汤姆·休斯克 / 伊丽莎白·贝里奇 / 剧情 / 传记 / 历史 / 音乐 / 美国/法国/捷克斯洛伐克/意大利 / 1984,1984,USA,Musical-Biography-Drama,[Amadeus](https://www.imdb.com/title/tt0086879/),🌟8.4
Night of the Living Dead,🎉359,🎉237,George A. Romero,[活死人之夜 Night of the Living Dead](https://movie.douban.com/subject/1297996/),🌟7.4,乔治·A·罗梅罗 / 杜安·琼斯 / 朱迪丝·奥迪娅 / 卡尔·哈德曼 / 恐怖 / 悬疑 / 美国 / 1968,1968,USA,Horror,[Night of the Living Dead](https://www.imdb.com/title/tt0063350/),🌟7.8
High and Low,🎉360,🎉377,Akira Kurosawa,[天国与地狱 天国と地獄](https://movie.douban.com/subject/1293663/),🌟8.8,黑泽明 / 三船敏郎 / 仲代达矢 / 香川京子 / 剧情 / 犯罪 / 日本 / 1963,1963,Japan,Thriller-Crime-Drama,[High and Low](https://www.imdb.com/title/tt0057565/),🌟8.4
Through the Olive Trees,🎉361,🎉391,Abbas Kiarostami,[橄榄树下的情人 زير درختان زيتون](https://movie.douban.com/subject/1303465/),🌟8.4,阿巴斯·基亚罗斯塔米 / 默罕默德·阿里·科沙瓦兹 / 法德哈·基德曼 / Zarifeh Shiva / 剧情 / 伊朗/法国 / 1994,1994,Iran-France,Drama,[Through the Olive Trees](https://www.imdb.com/title/tt0111845/),🌟7.7
Make Way for Tomorrow,🎉362,🎉313,Leo McCarey,[明日之歌 Make Way for Tomorrow](https://movie.douban.com/subject/1302017/),🌟8.2,莱奥·麦卡雷 / 维克托·摩尔 / 比尤拉·邦蒂 / 费伊·贝恩特 / 剧情 / 美国 / 1937,1937,USA,Drama,[Make Way for Tomorrow](https://www.imdb.com/title/tt0029192/),🌟8.2
Mad Max: Fury Road,🎉363,🎉345,George Miller,[疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road](https://movie.douban.com/subject/3592854/),🌟8.7,乔治·米勒 / 汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特 / 动作 / 科幻 / 冒险 / 澳大利亚/美国 / 2015,2015,Australia-USA,Action-Adventure-Science Fiction,[Mad Max: Fury Road](https://www.imdb.com/title/tt1392190/),🌟8.1
How Green Was My Valley,🎉364,🎉368,John Ford,[青山翠谷 How Green Was My Valley](https://movie.douban.com/subject/1293322/),🌟8.3,约翰·福特 / 沃尔特·皮金 / 玛琳·奥哈拉 / 安娜·李 / 剧情 / 家庭 / 美国 / 1941,1941,USA,Drama,[How Green Was My Valley](https://www.imdb.com/title/tt0033729/),🌟7.7
Heaven's Gate,🎉365,🎉434,Michael Cimino,[天堂之门 Heaven's Gate](https://movie.douban.com/subject/1295905/),🌟7.2,迈克尔·西米诺 / 克里斯·克里斯托佛森 / 克里斯托弗·沃肯 / 伊莎贝尔·于佩尔 / 剧情 / 西部 / 冒险 / 美国 / 1980,1980,USA,Western-Drama-History,[Heaven's Gate](https://www.imdb.com/title/tt0080855/),🌟6.7
Last Tango in Paris,🎉366,🎉376,Bernardo Bertolucci,[巴黎最后的探戈 Ultimo tango a Parigi](https://movie.douban.com/subject/1300353/),🌟7.1,贝纳尔多·贝托鲁奇 / 马龙·白兰度 / 玛利亚·施奈德 / 让-皮埃尔·利奥德 / 剧情 / 爱情 / 情色 / 意大利/法国 / 1972,1972,Italy-France,Drama-Romance,[Last Tango in Paris](https://www.imdb.com/title/tt0070849/),🌟6.9
"Cranes Are Flying, The",🎉367,🎉442,Mikhail Kalatozov,[雁南飞 Летят журавли](https://movie.douban.com/subject/1302077/),🌟8.8,米哈伊尔·卡拉托佐夫 / 塔吉娅娜·萨莫依洛娃 / 阿列克谢·巴塔洛夫 / 瓦西里·梅尔库里耶夫 / 剧情 / 爱情 / 战争 / 苏联 / 1957,1957,USSR,War-Romance-Drama,[The Cranes Are Flying](https://www.imdb.com/title/tt0050634/),🌟8.3
Get Out,🎉368,🎉1023,Jordan Peele,[逃出绝命镇 Get Out](https://movie.douban.com/subject/26688480/),🌟7.8,乔丹·皮尔 / 丹尼尔·卡卢亚 / 艾莉森·威廉姆斯 / 凯瑟琳·基纳 / 悬疑 / 惊悚 / 恐怖 / 美国 / 2017,2017,USA-Japan,Horror-Mystery-Thriller,[Get Out](https://www.imdb.com/title/tt5052448/),🌟7.8
"King of Comedy, The",🎉369,🎉393,Martin Scorsese,[喜剧之王 The King of Comedy](https://movie.douban.com/subject/1292772/),🌟8.5,马丁·斯科塞斯 / 罗伯特·德尼罗 / 杰瑞·刘易斯 / 戴安娜·阿伯特 / 喜剧 / 剧情 / 犯罪 / 美国 / 1982,1983,USA,Drama-Comedy,[The King of Comedy](https://www.imdb.com/title/tt0085794/),🌟7.8
Peeping Tom,🎉370,🎉280,Michael Powell,[偷窥狂 Peeping Tom](https://movie.douban.com/subject/1299665/),🌟7.9,迈克尔·鲍威尔 / 卡尔海因茨·伯姆 / 莫伊拉·希勒 / 安娜·玛西 / 剧情 / 犯罪 / 惊悚 / 英国 / 1960,1960,UK,Drama-Thriller,[Peeping Tom](https://www.imdb.com/title/tt0054167/),🌟7.6
"Affair to Remember, An",🎉371,🎉441,Leo McCarey,[金玉盟 An Affair to Remember](https://movie.douban.com/subject/1293320/),🌟8.2,莱奥·麦卡雷 / 加里·格兰特 / 黛博拉·蔻儿 / 理查德·邓宁 / 喜剧 / 剧情 / 爱情 / 美国 / 1957,1957,USA,Romance-Drama,[An Affair to Remember](https://www.imdb.com/title/tt0050105/),🌟7.4
Lost Highway,🎉372,🎉378,David Lynch,[妖夜慌踪 Lost Highway](https://movie.douban.com/subject/1303459/),🌟8.1,大卫·林奇 / 比尔·普尔曼 / 帕特丽夏·阿奎特 / 巴萨扎·盖提 / 悬疑 / 惊悚 / 法国/美国 / 1997,1997,USA-France,Mystery-Drama-Thriller,[Lost Highway](https://www.imdb.com/title/tt0116922/),🌟7.6
"White Ribbon, The",🎉373,🎉375,Michael Haneke,[白丝带 Das weiße Band – Eine deutsche Kindergeschichte](https://movie.douban.com/subject/2464346/),🌟8.2,迈克尔·哈内克 / 克里斯蒂安·富里道尔 / 恩斯特·雅各比 / 莉奥妮·贝尼希 / 剧情 / 悬疑 / 德国/奥地利/法国/意大利 / 2009,2009,Germany-Austria-France-Italy-Canada,Drama-Mystery,[The White Ribbon](https://www.imdb.com/title/tt1149362/),🌟7.8
Fitzcarraldo,🎉374,🎉420,Werner Herzog,[陆上行舟 Fitzcarraldo](https://movie.douban.com/subject/1297105/),🌟8.7,沃纳·赫尔佐格 / 克劳斯·金斯基 / 若泽·卢戈伊 / 米格尔·安赫尔·富恩特斯 / 剧情 / 冒险 / 西德/秘鲁 / 1982,1982,West Germany,Drama-Adventure,[Fitzcarraldo](https://www.imdb.com/title/tt0083946/),🌟8
Tristana,🎉375,🎉400,Luis Buñuel,[特丽丝塔娜 Tristana](https://movie.douban.com/subject/1301655/),🌟7.7,路易斯·布努埃尔 / 凯瑟琳·德纳芙 / 费尔南多·雷伊 / 弗兰科·内罗 / 剧情 / 法国/意大利/西班牙 / 1970,1970,Spain-Italy-France,Drama,[Tristana](https://www.imdb.com/title/tt0066491/),🌟7.4
Teorema,🎉376,🎉361,Pier Paolo Pasolini,[定理 Teorema](https://movie.douban.com/subject/1297130/),🌟7.7,皮埃尔·保罗·帕索里尼 / 西尔瓦娜·曼加诺 / 特伦斯·斯坦普 / 马西莫·吉洛蒂 / 剧情 / 悬疑 / 意大利 / 1968,1968,Italy,Drama,[Teorema](https://www.imdb.com/title/tt0063678/),🌟7
"Killing of a Chinese Bookie, The",🎉377,🎉333,John Cassavetes,[谋杀地下老板 The Killing of a Chinese Bookie](https://movie.douban.com/subject/1438613/),🌟7.8,约翰·卡萨维蒂 / 本·戈扎那 / 蒂莫西·凯瑞 / 西摩·卡塞尔 / 犯罪 / 剧情 / 美国 / 1976,1976,USA,Drama-Crime,[The Killing of a Chinese Bookie](https://www.imdb.com/title/tt0074749/),🌟7.3
Stromboli,🎉378,🎉382,Roberto Rossellini,[火山边缘之恋 Stromboli](https://movie.douban.com/subject/1294382/),🌟8.0,罗伯托·罗西里尼 / 英格丽·褒曼 / 马里奥·维塔莱 / 伦佐·切萨纳 / 剧情 / 意大利/美国 / 1950,1950,Italy,Drama,[Stromboli](https://www.imdb.com/title/tt0041931/),🌟7.2
"Elephant Man, The",🎉379,🎉356,David Lynch,[象人 The Elephant Man](https://movie.douban.com/subject/1293200/),🌟8.3,大卫·林奇 / 安东尼·霍普金斯 / 约翰·赫特 / 安妮·班克罗夫特 / 剧情 / 传记 / 美国 / 1980,1980,USA,Drama-Biography,[The Elephant Man](https://www.imdb.com/title/tt0080678/),🌟8.2
"Turin Horse, The",🎉380,🎉302,Béla Tarr,[都灵之马 A torinói ló](https://movie.douban.com/subject/3285632/),🌟8.5,贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基 / 亚诺什·德尔日 / 艾丽卡·博克 / 米哈伊·科莫斯 / 剧情 / 匈牙利/法国/瑞士/德国/美国 / 2011,2011,Hungary-France-Germany-Switzerland,Drama,[The Turin Horse](https://www.imdb.com/title/tt1316540/),🌟7.7
Nostalghia,🎉381,🎉387,Andrei Tarkovsky,[乡愁 Ностальгия](https://movie.douban.com/subject/1291556/),🌟9.1,安德烈·塔可夫斯基 / 奥列格·扬科夫斯基 / 厄兰·约瑟夫森 / 多美兹亚娜·佐丹奴 / 剧情 / 苏联/意大利 / 1983,1983,Italy,Drama,[Nostalghia](https://www.imdb.com/title/tt0086022/),🌟7.9
Orlando,🎉382,🎉513,Sally Potter,[奥兰多 Orlando](https://movie.douban.com/subject/1301895/),🌟8.2,莎莉·波特 / 蒂尔达·斯文顿 / 比利·赞恩 / 昆廷·克里斯普 / 剧情 / 爱情 / 奇幻 / 英国/俄罗斯/法国/意大利/荷兰 / 1992,1992,UK-Russia-France-Italy-Netherlands,History-Drama-Fantasy,[Orlando](https://www.imdb.com/title/tt0107756/),🌟7.1
Harold and Maude,🎉383,🎉323,Hal Ashby,[哈洛与慕德 Harold and Maude](https://movie.douban.com/subject/1292812/),🌟8.2,哈尔·阿什贝 / 鲁思·戈登 / 巴德·库特 / 维维安·皮克尔斯 / 剧情 / 喜剧 / 美国 / 1971,1971,USA,Comedy-Drama-Romance,[Harold and Maude](https://www.imdb.com/title/tt0067185/),🌟7.9
Mon oncle,🎉384,🎉402,Jacques Tati,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),🌟8.6,雅克·塔蒂 / 让·皮埃尔·佐拉 / Adrienne Servantie / Lucien Frégis / 喜剧 / 意大利/法国 / 1958,1958,France,Comedy,[Mon Oncle](https://www.imdb.com/title/tt0050706/),🌟7.7
Two-Lane Blacktop,🎉385,🎉439,Monte Hellman,[双车道柏油路 Two-lane Blacktop](https://movie.douban.com/subject/1868546/),🌟7.6,蒙特·赫尔曼 / 詹姆斯·泰勒 / 沃伦·奥茨 / 劳丽·伯德 / 剧情 / 美国 / 1971,1971,USA,Drama,[Two-Lane Blacktop](https://www.imdb.com/title/tt0067893/),🌟7.2
"Hour of the Furnaces, The",🎉386,🎉493,Octavio & Fernando E. Solanas Getino,[燃火的时刻 Hora de los hornos](https://movie.douban.com/subject/2245725/),🌟8.7,费尔南多·索拉纳斯 / 奥克塔维奥·赫蒂诺 / María de la Paz / Fernando E. Solanas / Edgardo Suárez / 纪录片 / 历史 / 战争 / 阿根廷 / 1970,1968,Argentina,Political-Documentary-History,[The Hour of the Furnaces](https://www.imdb.com/title/tt0063084/),🌟7.7
I Know Where I'm Going!,🎉387,🎉410,Michael & Emeric Pressburger Powell,[我走我路 I Know Where I'm Going!](https://movie.douban.com/subject/1308333/),🌟7.0,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 / 温蒂·希勒 / 罗杰·莱伍赛 / 帕梅拉·布朗 / 剧情 / 爱情 / 英国 / 1945,1945,UK,Romance-Drama,[I Know Where I'm Going!](https://www.imdb.com/title/tt0037800/),🌟7.4
In a Year with 13 Moons,🎉388,🎉466,Rainer Werner Fassbinder,[十三个月亮 In einem Jahr mit 13 Monden](https://movie.douban.com/subject/1300323/),🌟8.1,赖纳·维尔纳·法斯宾德 / Volker Spengler / 英格丽·卡文 / 高夫莱德·约翰 / 剧情 / 同性 / 西德 / 1978,1978,West Germany,Drama,[In a Year with 13 Moons](https://www.imdb.com/title/tt0077729/),🌟7.4
